date,category,name,change,percentage
2020-01-01,Video Card Description,NVIDIA GeForce 940M,0.0004,0.0089
2020-01-01,Video Card Description,NVIDIA GeForce 940MX,0.0,0.002
2020-01-01,Video Card Description,NVIDIA GeForce GT 1030,0.0011,0.0066
2020-01-01,Video Card Description,NVIDIA GeForce GT 630,0.0002,0.0035
2020-01-01,Video Card Description,NVIDIA GeForce GT 640,0.0001,0.0017
2020-01-01,Video Card Description,NVIDIA GeForce GT 710,0.0003,0.0032
2020-01-01,Video Card Description,NVIDIA GeForce GT 720M,0.0001,0.0052
2020-01-01,Video Card Description,NVIDIA GeForce GT 730,0.0002,0.0079
2020-01-01,Video Card Description,NVIDIA GeForce GT 740,0.0016,0.0016
2020-01-01,Video Card Description,NVIDIA GeForce GT 740M,0.0,0.0021
2020-01-01,Video Card Description,NVIDIA GeForce GTS 450,0.0003,0.0023
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1050,0.0044,0.0527
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1050 Ti,0.0016,0.088
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1060,-0.0276,0.1303
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1070,0.002,0.0441
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1070 Ti,-0.0004,0.0119
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1080,0.0003,0.0271
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1080 Ti,0.0014,0.0167
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1650,0.0049,0.0157
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1660,-0.0023,0.0113
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1660 SUPER,0.0017,0.0017
2020-01-01,Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.0043,0.019
2020-01-01,Video Card Description,NVIDIA GeForce GTX 550 Ti,0.0002,0.0028
2020-01-01,Video Card Description,NVIDIA GeForce GTX 650,0.0005,0.0049
2020-01-01,Video Card Description,NVIDIA GeForce GTX 650 Ti,0.0003,0.0021
2020-01-01,Video Card Description,NVIDIA GeForce GTX 660,0.0002,0.0047
2020-01-01,Video Card Description,NVIDIA GeForce GTX 750,0.0004,0.0054
2020-01-01,Video Card Description,NVIDIA GeForce GTX 750 Ti,-0.0008,0.0192
2020-01-01,Video Card Description,NVIDIA GeForce GTX 760,0.0002,0.0057
2020-01-01,Video Card Description,NVIDIA GeForce GTX 770,0.0001,0.003
2020-01-01,Video Card Description,NVIDIA GeForce GTX 850M,0.0002,0.0018
2020-01-01,Video Card Description,NVIDIA GeForce GTX 860M,0.0002,0.0024
2020-01-01,Video Card Description,NVIDIA GeForce GTX 950,-0.0024,0.007
2020-01-01,Video Card Description,NVIDIA GeForce GTX 950M,0.0006,0.0069
2020-01-01,Video Card Description,NVIDIA GeForce GTX 960,-0.0062,0.021
2020-01-01,Video Card Description,NVIDIA GeForce GTX 960M,0.0016,0.0122
2020-01-01,Video Card Description,NVIDIA GeForce GTX 970,0.0021,0.0242
2020-01-01,Video Card Description,NVIDIA GeForce GTX 970M,0.0001,0.003
2020-01-01,Video Card Description,NVIDIA GeForce GTX 980,0.0003,0.0048
2020-01-01,Video Card Description,NVIDIA GeForce GTX 980 Ti,0.0002,0.0044
2020-01-01,Video Card Description,NVIDIA GeForce MX110,0.0003,0.0018
2020-01-01,Video Card Description,NVIDIA GeForce MX130,0.0002,0.0022
2020-01-01,Video Card Description,NVIDIA GeForce MX150,0.0007,0.0057
2020-01-01,Video Card Description,NVIDIA GeForce MX250,0.0018,0.0018
2020-01-01,Video Card Description,NVIDIA GeForce RTX 2060,-0.0015,0.0212
2020-01-01,Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.0012,0.0048
2020-01-01,Video Card Description,NVIDIA GeForce RTX 2070,-0.0005,0.0168
2020-01-01,Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.0019,0.0077
2020-01-01,Video Card Description,NVIDIA GeForce RTX 2080,0.0006,0.0103
2020-01-01,Video Card Description,NVIDIA GeForce RTX 2080 SUPER,0.0003,0.0031
2020-01-01,Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.0012,0.007
2020-02-01,Video Card Description,NVIDIA GeForce 210,-0.0001,0.0016
2020-02-01,Video Card Description,NVIDIA GeForce 840M,0.0,0.0031
2020-02-01,Video Card Description,NVIDIA GeForce 920M,0.0001,0.0035
2020-02-01,Video Card Description,NVIDIA GeForce 920MX,0.0001,0.0026
2020-02-01,Video Card Description,NVIDIA GeForce 940M,0.0003,0.0092
2020-02-01,Video Card Description,NVIDIA GeForce 940MX,0.0,0.002
2020-02-01,Video Card Description,NVIDIA GeForce GT 1030,0.0,0.0066
2020-02-01,Video Card Description,NVIDIA GeForce GT 610,0.0016,0.0016
2020-02-01,Video Card Description,NVIDIA GeForce GT 630,0.0,0.0035
2020-02-01,Video Card Description,NVIDIA GeForce GT 640,-0.0001,0.0016
2020-02-01,Video Card Description,NVIDIA GeForce GT 710,0.0003,0.0035
2020-02-01,Video Card Description,NVIDIA GeForce GT 720M,0.0003,0.0055
2020-02-01,Video Card Description,NVIDIA GeForce GT 730,0.0004,0.0083
2020-02-01,Video Card Description,NVIDIA GeForce GT 740,0.0001,0.0017
2020-02-01,Video Card Description,NVIDIA GeForce GT 740M,0.0,0.0021
2020-02-01,Video Card Description,NVIDIA GeForce GTS 450,-0.0002,0.0021
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1050,0.0,0.0527
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1050 Ti,-0.0006,0.0874
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1060,-0.008,0.1223
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1070,-0.0035,0.0406
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1070 Ti,-0.0011,0.0108
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1080,-0.0029,0.0242
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1080 Ti,-0.0014,0.0153
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1650,0.0049,0.0206
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1660,0.001,0.0123
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1660 SUPER,0.0014,0.0031
2020-02-01,Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.0032,0.0222
2020-02-01,Video Card Description,NVIDIA GeForce GTX 550 Ti,-0.0001,0.0027
2020-02-01,Video Card Description,NVIDIA GeForce GTX 650,0.0,0.0049
2020-02-01,Video Card Description,NVIDIA GeForce GTX 650 Ti,-0.0002,0.0019
2020-02-01,Video Card Description,NVIDIA GeForce GTX 660,0.0,0.0047
2020-02-01,Video Card Description,NVIDIA GeForce GTX 750,0.0003,0.0057
2020-02-01,Video Card Description,NVIDIA GeForce GTX 750 Ti,-0.0002,0.019
2020-02-01,Video Card Description,NVIDIA GeForce GTX 760,-0.0004,0.0053
2020-02-01,Video Card Description,NVIDIA GeForce GTX 770,-0.0003,0.0027
2020-02-01,Video Card Description,NVIDIA GeForce GTX 850M,0.0,0.0018
2020-02-01,Video Card Description,NVIDIA GeForce GTX 860M,0.0,0.0024
2020-02-01,Video Card Description,NVIDIA GeForce GTX 950,-0.0009,0.0061
2020-02-01,Video Card Description,NVIDIA GeForce GTX 950M,0.0003,0.0072
2020-02-01,Video Card Description,NVIDIA GeForce GTX 960,-0.0017,0.0193
2020-02-01,Video Card Description,NVIDIA GeForce GTX 960M,0.0006,0.0128
2020-02-01,Video Card Description,NVIDIA GeForce GTX 965M,0.0016,0.0016
2020-02-01,Video Card Description,NVIDIA GeForce GTX 970,-0.0021,0.0221
2020-02-01,Video Card Description,NVIDIA GeForce GTX 970M,0.0,0.003
2020-02-01,Video Card Description,NVIDIA GeForce GTX 980,-0.0006,0.0042
2020-02-01,Video Card Description,NVIDIA GeForce GTX 980 Ti,-0.0005,0.0039
2020-02-01,Video Card Description,NVIDIA GeForce MX110,0.0001,0.0019
2020-02-01,Video Card Description,NVIDIA GeForce MX130,0.0001,0.0023
2020-02-01,Video Card Description,NVIDIA GeForce MX150,0.0008,0.0065
2020-02-01,Video Card Description,NVIDIA GeForce MX250,0.001,0.0028
